"id","repo_name","description","github_url","tech_stack","subject_id","display_name","primary_language","is_active","course_id","stars"
"185","Lab1-IT008","Bài tập thực hành Lab 1 Lập trình trực quan - UIT","https://github.com/DonThuanUIT-24521736/Lab1-IT008","","IT008","Lab1-IT008","C#","True","22","0"
"186","UIT-IT002.P11.CTTN-Object_Oriented_Programming","","https://github.com/ckha1410/UIT-IT002.P11.CTTN-Object_Oriented_Programming","","IT002","UIT-IT002.P11.CTTN-Object_Oriented_Programming","C++","True","16","0"
"187","IT004","CSDL UIT","https://github.com/namphuong11/IT004","","IT004","IT004","TSQL","True","18","0"
"188","UIT-IT004","Practical exercises for subject IT004 at UIT","https://github.com/nqhhoang2002/UIT-IT004","","IT004","UIT-IT004","","True","18","0"
"189","IT003-DSAA","it003 UIT exercises","https://github.com/boy2407/IT003-DSAA","","IT003","IT003-DSAA","C++","True","17","0"
"190","Bai5Lab2-UIT-IT002","Doing homework from UIT","https://github.com/OopsNooob/Bai5Lab2-UIT-IT002","","IT002","Bai5Lab2-UIT-IT002","C++","True","16","0"
"191","IT004_Lab","","https://github.com/hoangnxm/IT004_Lab","","IT004","IT004_Lab","TSQL","True","18","0"
"192","IT004-CS115-UIT","","https://github.com/NTGNguyen/IT004-CS115-UIT","","IT004","IT004-CS115-UIT","TSQL","True","18","5"
"194","Networking-LAB","This is all my IT005's LAB project.","https://github.com/UITxWoodyNguyen/Networking-LAB","","IT005","Networking-LAB","HTML","True","19","0"
"195","se350_UITE-Learning_BE","","https://github.com/troqphuc147/se350_UITE-Learning_BE","","SE350","se350_UITE-Learning_BE","JavaScript","True","38","0"
"196","QL_Giai_BD_QG_SE104_UIT","","https://github.com/truonghoangkhiem/QL_Giai_BD_QG_SE104_UIT","","SE104","QL_Giai_BD_QG_SE104_UIT","JavaScript","True","24","0"
"197","SE347.O12.PMCL-LAB","","https://github.com/ninehcobra/SE347.O12.PMCL-LAB","","SE347","SE347.O12.PMCL-LAB","HTML","True","37","0"
"198","uit_shield_demo","Simple scam/phishing email demo for my SS004","https://github.com/1zuki/uit_shield_demo","","SS004","uit_shield_demo","Python","True","69","0"
"200","SE347.L11_LAB3_18521314","","https://github.com/tuongluong2000/SE347.L11_LAB3_18521314","","SE347","SE347.L11_LAB3_18521314","","True","37","0"
"201","SE350M21_UITE-learning","E-learning","https://github.com/TranHoangdbz/SE350M21_UITE-learning","","SE350","SE350M21_UITE-learning","JavaScript","True","38","0"
"202","Lab-.NET","[SE310] Công nghệ .NET - UIT","https://github.com/huynhanx03/Lab-.NET","","SE310","Lab-.NET","C#","True","42","0"
"203","ASP.NET-Core-Seminar","ASP.NET Core Seminar For UIT SE347","https://github.com/comaybay/ASP.NET-Core-Seminar","","SE347","ASP.NET-Core-Seminar","C#","True","37","0"
"204","Bai-Tap-Cong-Nghe-Web-Uit","SE347 - UIT","https://github.com/loia5tqd001/Bai-Tap-Cong-Nghe-Web-Uit","","SE347","Bai-Tap-Cong-Nghe-Web-Uit","HTML","True","37","1"
"205","UIT-SE350-CDE-Learning","ReactJs-NodeJs website E-Learning ","https://github.com/yang020501/UIT-SE350-CDE-Learning","","SE350","UIT-SE350-CDE-Learning","JavaScript","True","38","0"
"206","uit-SE357_requirement","","https://github.com/Huangphoux/uit-SE357_requirement","","SE357","uit-SE357_requirement","TypeScript","True","50","0"
"207","uit-SE357_requirement","","https://github.com/Huangphoux/uit-SE357_requirement","","SE357","uit-SE357_requirement","TypeScript","True","50","0"
"208","Java-BaiTapChuong2","Bài tập chương II OOP môn Ngôn ngữ lập trình Java - SE330.O21 của thầy Lê Thanh Trọng","https://github.com/UIT-KTPM-2022-3-22521474/Java-BaiTapChuong2","","SE330","Java-BaiTapChuong2","Java","True","34","0"
